,Ttot,fTtot,n,T,fT,omega,beta,omega0,T0,fT0,V,fV,m,fm,D,fD,pl,fpl,pd,fpd,p,fp,k,fk,k0,fk0,k Avg,null
1,3.2,0.141,3,1.066666667,0.081406388,5.890486225,1,5.911668798,1.062844608,0.081406388,8.83,0.09,16,0.5,16,0.1,98000,19.6,780.336686,26.26401037,98780.33669,32.77130209,1.227588412,0.194112358,1.236433263,,1.200657146,0
2,4.37,0.141,4,1.0925,0.0705,5.751199366,1,5.772893048,1.088394546,0.0705,8.83,0.09,16,0.5,16,0.1,98000,19.6,780.336686,26.26401037,98780.33669,32.77130209,1.170219515,0.158574018,1.179064365,,,0
3,5.39,0.141,5,1.078,0.063057117,5.828557799,1,5.849964617,1.074055267,0.063057117,8.83,0.09,16,0.5,16,0.1,98000,19.6,780.336686,26.26401037,98780.33669,32.77130209,1.201912096,0.149114136,1.210756946,,fk Avg,0
4,5.17,0.141,5,1.034,0.063057117,6.076581535,1,6.09711761,1.030517321,0.063057117,8.83,0.09,16,0.5,16,0.1,98000,19.6,780.336686,26.26401037,98780.33669,32.77130209,1.306378878,0.16822126,1.315223729,,0.163732792,0
5,4.36,0.141,4,1.09,0.0705,5.76439019,1,5.786034416,1.08592256,0.0705,8.83,0.09,16,0.5,16,0.1,98000,19.6,780.336686,26.26401037,98780.33669,32.77130209,1.17559365,0.159633729,1.184438501,,,0
6,4.37,0.141,4,1.0925,0.0705,5.751199366,1,5.772893048,1.088394546,0.0705,8.83,0.09,16,0.5,16,0.1,98000,19.6,780.336686,26.26401037,98780.33669,32.77130209,1.170219515,0.158574018,1.179064365,,k0 Avg,0
7,4.43,0.141,4,1.1075,0.0705,5.673305018,1,5.695295412,1.103223776,0.0705,8.83,0.09,16,0.5,16,0.1,98000,19.6,780.336686,26.26401037,98780.33669,32.77130209,1.138735232,0.152413019,1.147580082,,1.209501996,0
8,4.29,0.141,4,1.0725,0.0705,5.858447839,1,5.879745835,1.068615121,0.0705,8.83,0.09,16,0.5,16,0.1,98000,19.6,780.336686,26.26401037,98780.33669,32.77130209,1.214271008,0.167329136,1.223115858,,,0
9,4.37,0.141,4,1.0925,0.0705,5.751199366,1,5.772893048,1.088394546,0.0705,8.83,0.09,16,0.5,16,0.1,98000,19.6,780.336686,26.26401037,98780.33669,32.77130209,1.170219515,0.158574018,1.179064365,,fk0 Avg,0
10,4.26,0.141,4,1.065,0.0705,5.899704514,1,5.920854106,1.061195766,0.0705,8.83,0.09,16,0.5,16,0.1,98000,19.6,780.336686,26.26401037,98780.33669,32.77130209,1.231433636,0.170782228,1.240278487,,,0
Einheiten,s,s,,s,s,1/s,,1/s,s,s,L,L,g,g,mm,mm,Pa,Pa,Pa,Pa,Pa,Pa,,,,,,
