,Ttot,fTot,n,T,fT,omega,beta,omega0,T0,fT0,V,fV,m,fm,D,fD,pl,fpl,pd,fpd,p,fp,k,fk,k0,fk0,K Avg,null
1,4,0.141,4,1,0.0705,6.283185307,1,6.303048279,0.996848672,0.0705,8.83,0.09,16,0.5,16,0.1,98000,19.6,780.336686,26.26401037,98780.33669,32.77130209,1.396722816,0.205211113,1.405567666,,1.396511871,0
2,3.99,0.141,4,0.9975,0.0705,6.298932639,1,6.318746109,0.994372174,0.0705,8.83,0.09,16,0.5,16,0.1,98000,19.6,780.336686,26.26401037,98780.33669,32.77130209,1.403732706,0.206717133,1.412577557,,,0
3,4.03,0.141,4,1.0075,0.0705,6.236412216,1,6.256423685,1.004277463,0.0705,8.83,0.09,16,0.5,16,0.1,98000,19.6,780.336686,26.26401037,98780.33669,32.77130209,1.376005335,0.200781577,1.384850186,,fK Avg,0
4,4,0.141,4,1,0.0705,6.283185307,1,6.303048279,0.996848672,0.0705,8.83,0.09,16,0.5,16,0.1,98000,19.6,780.336686,26.26401037,98780.33669,32.77130209,1.396722816,0.205211113,1.405567666,,0.205199551,0
5,3.95,0.141,4,0.9875,0.0705,6.362719298,1,6.382334751,0.98446502,0.0705,8.83,0.09,16,0.5,16,0.1,98000,19.6,780.336686,26.26401037,98780.33669,32.77130209,1.432306685,0.212893758,1.441151536,,,0
6,3.93,0.141,4,0.9825,0.0705,6.395099549,1,6.414615986,0.979510749,0.0705,8.83,0.09,16,0.5,16,0.1,98000,19.6,780.336686,26.26401037,98780.33669,32.77130209,1.446921965,0.216076322,1.455766815,,k0 Avg,0
7,4.02,0.141,4,1.005,0.0705,6.251925679,1,6.27188765,1.001801317,0.0705,8.83,0.09,16,0.5,16,0.1,98000,19.6,780.336686,26.26401037,98780.33669,32.77130209,1.382859648,0.202243517,1.391704498,,1.405356721,0
8,3.97,0.141,4,0.9925,0.0705,6.330665297,1,6.35037976,0.989418829,0.0705,8.83,0.09,16,0.5,16,0.1,98000,19.6,780.336686,26.26401037,98780.33669,32.77130209,1.417911734,0.209774553,1.426756585,,,0
9,4.09,0.141,4,1.0225,0.0705,6.144924506,1,6.165232938,1.019131859,0.0705,8.83,0.09,16,0.5,16,0.1,98000,19.6,780.336686,26.26401037,98780.33669,32.77130209,1.335929666,0.192304844,1.344774517,,fk0 Avg,0
10,4.03,0.141,4,1.0075,0.0705,6.236412216,1,6.256423685,1.004277463,0.0705,8.83,0.09,16,0.5,16,0.1,98000,19.6,780.336686,26.26401037,98780.33669,32.77130209,1.376005335,0.200781577,1.384850186,,,0
Einheiten,s,s,,s,s,1/s,,1/s,s,s,L,L,g,g,mm,mm,Pa,Pa,Pa,Pa,Pa,Pa,,,,,,
