,h,fh,h1,fh1,k,fk,k Avg
1,28.8,0.5,7.6,0.5,1.358490566,0.033136684,1.295256748
2,36,0.5,8.2,0.5,1.294964029,0.023887273,
3,40.9,0.5,8.2,0.5,1.250764526,0.019505423,fk Avg
4,42.6,0.5,9.5,0.5,1.287009063,0.019918776,0.020372875
5,52.8,0.5,10.7,0.5,1.25415677,0.015197747,
6,62.5,0.5,14.8,0.5,1.310272537,0.014114337,
7,54,0.5,12.7,0.5,1.307506053,0.016261257,
8,61.1,0.5,14.4,0.5,1.308351178,0.014391822,
9,65.9,0.5,15.2,0.5,1.299802761,0.013155127,
10,24.6,0.5,5.4,0.5,1.28125,0.034160306,
Einheiten,mm,mm,mm,mm,,,
