Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,1,,,
Sample Interval,0.00192012,,,
Filter Frequency,7e+07,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,0.1,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-5.000e+00,-0.176,-0.184,-0.094,-0.114
-4.998e+00,-0.176,-0.16,-0.102,-0.07
-4.996e+00,-0.168,-0.176,-0.098,-0.114
-4.994e+00,-0.16,-0.152,-0.09,-0.066
-4.992e+00,-0.16,-0.176,-0.094,-0.11
-4.990e+00,-0.152,-0.144,-0.09,-0.066
-4.988e+00,-0.16,-0.168,-0.09,-0.11
-4.987e+00,-0.144,-0.136,-0.086,-0.062
-4.985e+00,-0.144,-0.16,-0.086,-0.106
-4.983e+00,-0.144,-0.128,-0.09,-0.062
-4.981e+00,-0.136,-0.152,-0.086,-0.102
-4.979e+00,-0.136,-0.12,-0.086,-0.058
-4.977e+00,-0.128,-0.144,-0.09,-0.102
-4.975e+00,-0.128,-0.12,-0.082,-0.058
-4.973e+00,-0.128,-0.136,-0.078,-0.098
-4.971e+00,-0.12,-0.112,-0.086,-0.054
-4.969e+00,-0.12,-0.128,-0.078,-0.098
-4.967e+00,-0.112,-0.104,-0.074,-0.05
-4.965e+00,-0.112,-0.12,-0.074,-0.094
-4.964e+00,-0.112,-0.096,-0.07,-0.05
-4.962e+00,-0.104,-0.112,-0.07,-0.09
-4.960e+00,-0.096,-0.088,-0.066,-0.046
-4.958e+00,-0.096,-0.104,-0.066,-0.09
-4.956e+00,-0.096,-0.08,-0.07,-0.046
-4.954e+00,-0.088,-0.104,-0.07,-0.086
-4.952e+00,-0.088,-0.072,-0.066,-0.042
-4.950e+00,-0.08,-0.096,-0.066,-0.086
-4.948e+00,-0.072,-0.072,-0.062,-0.038
-4.946e+00,-0.08,-0.088,-0.058,-0.082
-4.944e+00,-0.072,-0.064,-0.066,-0.038
-4.942e+00,-0.064,-0.08,-0.062,-0.082
-4.940e+00,-0.064,-0.056,-0.058,-0.034
-4.939e+00,-0.064,-0.072,-0.058,-0.078
-4.937e+00,-0.064,-0.048,-0.066,-0.034
-4.935e+00,-0.056,-0.064,-0.058,-0.074
-4.933e+00,-0.048,-0.04,-0.054,-0.03
-4.931e+00,-0.048,-0.056,-0.054,-0.07
-4.929e+00,-0.048,-0.032,-0.054,-0.026
-4.927e+00,-0.04,-0.056,-0.05,-0.07
-4.925e+00,-0.04,-0.024,-0.054,-0.026
-4.923e+00,-0.032,-0.04,-0.05,-0.066
-4.921e+00,-0.032,-0.016,-0.042,-0.026
-4.919e+00,-0.032,-0.04,-0.054,-0.066
-4.917e+00,-0.024,-0.016,-0.05,-0.022
-4.916e+00,-0.024,-0.032,-0.042,-0.062
-4.914e+00,-0.016,-0.008,-0.034,-0.018
-4.912e+00,-0.016,-0.024,-0.046,-0.058
-4.910e+00,-0.008,-1.78814e-10,-0.038,-0.018
-4.908e+00,-0.008,-0.016,-0.03,-0.058
-4.906e+00,-0.008,0.008,-0.034,-0.014
-4.904e+00,-1.78814e-10,-0.008,-0.038,-0.054
-4.902e+00,-1.78814e-10,0.016,-0.034,-0.014
-4.900e+00,0.008,-1.78814e-10,-0.03,-0.054
-4.898e+00,0.008,0.024,-0.042,-0.01
-4.896e+00,0.016,0.008,-0.022,-0.05
-4.894e+00,0.024,0.024,-0.034,-0.01
-4.892e+00,0.024,0.008,-0.03,-0.046
-4.891e+00,0.024,0.032,-0.03,-0.006
-4.889e+00,0.024,0.016,-0.026,-0.046
-4.887e+00,0.032,0.04,-0.038,-0.006
-4.885e+00,0.04,0.024,-0.03,-0.046
-4.883e+00,0.04,0.048,-0.018,-0.002
-4.881e+00,0.048,0.032,-0.022,-0.042
-4.879e+00,0.048,0.056,-0.026,0.002
-4.877e+00,0.048,0.04,-0.018,-0.038
-4.875e+00,0.048,0.064,-0.018,0.002
-4.873e+00,0.056,0.048,-0.026,-0.038
-4.871e+00,0.064,0.072,-0.018,0.006
-4.869e+00,0.064,0.056,-0.014,-0.034
-4.868e+00,0.064,0.08,-0.018,0.01
-4.866e+00,0.072,0.056,-0.01,-0.034
-4.864e+00,0.072,0.088,-0.01,0.014
-4.862e+00,0.08,0.064,-0.01,-0.03
-4.860e+00,0.08,0.088,-0.014,0.014
-4.858e+00,0.088,0.072,-0.01,-0.026
-4.856e+00,0.088,0.096,-0.006,0.014
-4.854e+00,0.088,0.08,-0.006,-0.026
-4.852e+00,0.096,0.104,-0.006,0.018
-4.850e+00,0.096,0.088,-0.002,-0.022
-4.848e+00,0.104,0.112,-0.006,0.018
-4.846e+00,0.104,0.096,-0.002,-0.018
-4.844e+00,0.112,0.12,0.01,0.022
-4.843e+00,0.112,0.104,0.002,-0.018
-4.841e+00,0.12,0.128,-0.002,0.026
-4.839e+00,0.12,0.104,0.002,-0.014
-4.837e+00,0.12,0.136,0.01,0.026
-4.835e+00,0.128,0.12,0.006,-0.014
-4.833e+00,0.136,0.136,0.01,0.03
-4.831e+00,0.136,0.12,0.01,-0.01
-4.829e+00,0.136,0.144,0.01,0.034
-4.827e+00,0.144,0.128,0.002,-0.01
-4.825e+00,0.144,0.152,0.01,0.034
-4.823e+00,0.144,0.136,0.014,-0.006
-4.821e+00,0.152,0.16,0.01,0.038
-4.820e+00,0.152,0.144,0.018,-0.002
-4.818e+00,0.16,0.168,0.022,0.038
-4.816e+00,0.16,0.152,0.014,-0.002
-4.814e+00,0.168,0.176,0.018,0.042
-4.812e+00,0.168,0.16,0.026,0.002
-4.810e+00,0.176,0.184,0.022,0.046
-4.808e+00,0.176,0.168,0.018,0.002
-4.806e+00,0.176,0.192,0.03,0.046
-4.804e+00,0.184,0.176,0.03,0.006
-4.802e+00,0.184,0.2,0.03,0.046
-4.800e+00,0.192,0.176,0.026,0.006
-4.798e+00,0.192,0.208,0.026,0.05
-4.796e+00,0.2,0.184,0.034,0.01
-4.795e+00,0.2,0.208,0.034,0.054
-4.793e+00,0.2,0.192,0.034,0.014
-4.791e+00,0.208,0.216,0.038,0.054
-4.789e+00,0.216,0.2,0.026,0.014
-4.787e+00,0.216,0.224,0.042,0.058
-4.785e+00,0.216,0.208,0.042,0.018
-4.783e+00,0.216,0.232,0.046,0.062
-4.781e+00,0.224,0.216,0.034,0.018
-4.779e+00,0.232,0.24,0.046,0.062
-4.777e+00,0.232,0.224,0.05,0.022
-4.775e+00,0.232,0.248,0.042,0.066
-4.773e+00,0.24,0.224,0.046,0.026
-4.772e+00,0.248,0.256,0.05,0.07
-4.770e+00,0.248,0.232,0.042,0.026
-4.768e+00,0.248,0.256,0.046,0.07
-4.766e+00,0.248,0.24,0.05,0.03
-4.764e+00,0.256,0.264,0.05,0.07
-4.762e+00,0.256,0.248,0.046,0.034
-4.760e+00,0.264,0.272,0.062,0.074
-4.758e+00,0.264,0.256,0.05,0.034
-4.756e+00,0.272,0.28,0.054,0.074
-4.754e+00,0.272,0.264,0.058,0.038
-4.752e+00,0.272,0.288,0.066,0.078
-4.750e+00,0.28,0.272,0.05,0.038
-4.748e+00,0.28,0.296,0.054,0.082
-4.747e+00,0.288,0.272,0.058,0.042
-4.745e+00,0.296,0.304,0.066,0.082
-4.743e+00,0.296,0.28,0.062,0.042
-4.741e+00,0.296,0.304,0.062,0.086
-4.739e+00,0.296,0.288,0.066,0.046
-4.737e+00,0.304,0.312,0.062,0.086
-4.735e+00,0.304,0.296,0.066,0.046
-4.733e+00,0.312,0.32,0.07,0.09
-4.731e+00,0.312,0.296,0.066,0.05
-4.729e+00,0.312,0.328,0.066,0.094
-4.727e+00,0.32,0.312,0.078,0.054
-4.725e+00,0.328,0.336,0.07,0.094
-4.724e+00,0.328,0.32,0.066,0.054
-4.722e+00,0.328,0.336,0.082,0.098
-4.720e+00,0.328,0.32,0.074,0.054
-4.718e+00,0.336,0.344,0.074,0.098
-4.716e+00,0.344,0.328,0.074,0.058
-4.714e+00,0.344,0.352,0.086,0.102
-4.712e+00,0.344,0.336,0.078,0.062
-4.710e+00,0.352,0.36,0.078,0.102
-4.708e+00,0.352,0.344,0.086,0.066
-4.706e+00,0.36,0.368,0.082,0.106
-4.704e+00,0.36,0.344,0.078,0.066
-4.702e+00,0.36,0.376,0.086,0.11
-4.700e+00,0.368,0.352,0.082,0.066
-4.699e+00,0.368,0.376,0.082,0.11
-4.697e+00,0.376,0.36,0.09,0.07
-4.695e+00,0.376,0.384,0.09,0.114
-4.693e+00,0.376,0.368,0.098,0.07
-4.691e+00,0.384,0.392,0.086,0.114
-4.689e+00,0.384,0.376,0.098,0.074
-4.687e+00,0.384,0.4,0.098,0.118
-4.685e+00,0.384,0.376,0.094,0.078
-4.683e+00,0.392,0.4,0.09,0.118
-4.681e+00,0.392,0.384,0.102,0.078
-4.679e+00,0.4,0.408,0.098,0.122
-4.677e+00,0.4,0.392,0.102,0.082
-4.675e+00,0.4,0.416,0.102,0.126
-4.674e+00,0.408,0.4,0.106,0.082
-4.672e+00,0.408,0.424,0.098,0.134
-4.670e+00,0.416,0.408,0.106,0.086
-4.668e+00,0.416,0.424,0.114,0.126
-4.666e+00,0.416,0.408,0.098,0.09
-4.664e+00,0.424,0.432,0.102,0.13
-4.662e+00,0.424,0.416,0.106,0.086
-4.660e+00,0.424,0.44,0.106,0.134
-4.658e+00,0.432,0.416,0.11,0.09
-4.656e+00,0.432,0.44,0.114,0.134
-4.654e+00,0.44,0.424,0.118,0.094
-4.652e+00,0.44,0.448,0.11,0.138
-4.651e+00,0.44,0.432,0.11,0.094
-4.649e+00,0.448,0.456,0.118,0.138
-4.647e+00,0.448,0.44,0.122,0.098
-4.645e+00,0.456,0.464,0.122,0.142
-4.643e+00,0.456,0.448,0.122,0.102
-4.641e+00,0.456,0.464,0.122,0.142
-4.639e+00,0.456,0.448,0.118,0.102
-4.637e+00,0.464,0.472,0.122,0.142
-4.635e+00,0.464,0.456,0.118,0.102
-4.633e+00,0.472,0.48,0.122,0.146
-4.631e+00,0.464,0.464,0.122,0.106
-4.629e+00,0.472,0.48,0.13,0.146
-4.627e+00,0.472,0.464,0.126,0.11
-4.626e+00,0.48,0.488,0.13,0.15
-4.624e+00,0.48,0.472,0.138,0.106
-4.622e+00,0.48,0.496,0.134,0.154
-4.620e+00,0.488,0.48,0.126,0.11
-4.618e+00,0.496,0.504,0.13,0.154
-4.616e+00,0.496,0.48,0.138,0.114
-4.614e+00,0.496,0.504,0.134,0.154
-4.612e+00,0.496,0.488,0.134,0.114
-4.610e+00,0.504,0.512,0.146,0.158
-4.608e+00,0.504,0.496,0.138,0.118
-4.606e+00,0.504,0.512,0.134,0.162
-4.604e+00,0.504,0.496,0.138,0.122
-4.603e+00,0.504,0.52,0.146,0.162
-4.601e+00,0.512,0.504,0.138,0.122
-4.599e+00,0.52,0.528,0.142,0.166
-4.597e+00,0.512,0.504,0.146,0.122
-4.595e+00,0.52,0.528,0.138,0.166
-4.593e+00,0.52,0.512,0.146,0.126
-4.591e+00,0.528,0.536,0.15,0.166
-4.589e+00,0.528,0.52,0.142,0.126
-4.587e+00,0.536,0.544,0.146,0.17
-4.585e+00,0.528,0.52,0.15,0.13
-4.583e+00,0.536,0.544,0.146,0.17
-4.581e+00,0.536,0.528,0.15,0.13
-4.579e+00,0.544,0.552,0.142,0.17
-4.578e+00,0.544,0.528,0.15,0.134
-4.576e+00,0.544,0.552,0.154,0.178
-4.574e+00,0.552,0.536,0.146,0.134
-4.572e+00,0.552,0.56,0.158,0.178
-4.570e+00,0.552,0.544,0.166,0.138
-4.568e+00,0.552,0.568,0.158,0.178
-4.566e+00,0.56,0.544,0.154,0.138
-4.564e+00,0.56,0.568,0.162,0.182
-4.562e+00,0.56,0.552,0.158,0.138
-4.560e+00,0.56,0.576,0.158,0.182
-4.558e+00,0.568,0.56,0.154,0.142
-4.556e+00,0.568,0.576,0.162,0.182
-4.555e+00,0.576,0.56,0.166,0.142
-4.553e+00,0.576,0.584,0.166,0.182
-4.551e+00,0.576,0.568,0.174,0.146
-4.549e+00,0.576,0.584,0.166,0.19
-4.547e+00,0.584,0.568,0.166,0.146
