Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,1,,,
Sample Interval,0.00192012,,,
Filter Frequency,7e+07,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,0.1,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-5.000e+00,0.672,0.664,0.198,0.174
-4.998e+00,0.672,0.688,0.19,0.218
-4.996e+00,0.68,0.672,0.194,0.174
-4.994e+00,0.68,0.688,0.198,0.218
-4.992e+00,0.68,0.672,0.206,0.174
-4.990e+00,0.68,0.696,0.198,0.218
-4.988e+00,0.688,0.672,0.194,0.178
-4.987e+00,0.688,0.696,0.202,0.222
-4.985e+00,0.688,0.68,0.202,0.178
-4.983e+00,0.688,0.696,0.194,0.222
-4.981e+00,0.688,0.68,0.206,0.182
-4.979e+00,0.696,0.704,0.21,0.226
-4.977e+00,0.688,0.68,0.194,0.182
-4.975e+00,0.688,0.704,0.206,0.226
-4.973e+00,0.696,0.688,0.202,0.182
-4.971e+00,0.696,0.704,0.206,0.226
-4.969e+00,0.696,0.688,0.206,0.182
-4.967e+00,0.696,0.712,0.206,0.23
-4.965e+00,0.704,0.688,0.21,0.186
-4.964e+00,0.704,0.712,0.206,0.226
-4.962e+00,0.704,0.696,0.202,0.186
-4.960e+00,0.704,0.712,0.21,0.23
-4.958e+00,0.704,0.696,0.202,0.186
-4.956e+00,0.704,0.712,0.206,0.23
-4.954e+00,0.704,0.696,0.206,0.19
-4.952e+00,0.712,0.72,0.21,0.234
-4.950e+00,0.712,0.696,0.21,0.186
-4.948e+00,0.712,0.72,0.21,0.234
-4.946e+00,0.712,0.704,0.214,0.19
-4.944e+00,0.712,0.72,0.21,0.238
-4.942e+00,0.712,0.704,0.214,0.19
-4.940e+00,0.712,0.72,0.222,0.234
-4.939e+00,0.712,0.704,0.21,0.194
-4.937e+00,0.712,0.728,0.21,0.234
-4.935e+00,0.712,0.704,0.21,0.194
-4.933e+00,0.72,0.728,0.218,0.238
-4.931e+00,0.72,0.712,0.218,0.194
-4.929e+00,0.72,0.728,0.21,0.238
-4.927e+00,0.72,0.712,0.21,0.194
-4.925e+00,0.72,0.728,0.214,0.238
-4.923e+00,0.72,0.712,0.218,0.19
-4.921e+00,0.72,0.728,0.218,0.238
-4.919e+00,0.72,0.712,0.214,0.194
-4.917e+00,0.72,0.736,0.218,0.242
-4.916e+00,0.72,0.72,0.222,0.198
-4.914e+00,0.72,0.736,0.218,0.242
-4.912e+00,0.728,0.72,0.214,0.198
-4.910e+00,0.728,0.736,0.222,0.242
-4.908e+00,0.728,0.72,0.226,0.198
-4.906e+00,0.728,0.736,0.218,0.246
-4.904e+00,0.728,0.72,0.226,0.202
-4.902e+00,0.728,0.736,0.226,0.246
-4.900e+00,0.728,0.72,0.226,0.202
-4.898e+00,0.728,0.736,0.214,0.246
-4.896e+00,0.736,0.72,0.226,0.202
-4.894e+00,0.728,0.744,0.222,0.246
-4.892e+00,0.728,0.72,0.218,0.202
-4.891e+00,0.736,0.744,0.222,0.246
-4.889e+00,0.736,0.72,0.23,0.202
-4.887e+00,0.736,0.744,0.226,0.246
-4.885e+00,0.728,0.728,0.218,0.202
-4.883e+00,0.736,0.744,0.222,0.246
-4.881e+00,0.736,0.728,0.234,0.206
-4.879e+00,0.736,0.744,0.222,0.25
-4.877e+00,0.736,0.728,0.226,0.206
-4.875e+00,0.736,0.744,0.226,0.25
-4.873e+00,0.736,0.728,0.226,0.206
-4.871e+00,0.736,0.744,0.23,0.25
-4.869e+00,0.736,0.728,0.23,0.206
-4.868e+00,0.736,0.744,0.226,0.25
-4.866e+00,0.736,0.728,0.23,0.206
-4.864e+00,0.736,0.744,0.234,0.25
-4.862e+00,0.736,0.728,0.23,0.206
-4.860e+00,0.736,0.752,0.23,0.25
-4.858e+00,0.736,0.728,0.23,0.206
-4.856e+00,0.736,0.752,0.238,0.25
-4.854e+00,0.736,0.728,0.226,0.21
-4.852e+00,0.736,0.752,0.222,0.25
-4.850e+00,0.736,0.728,0.234,0.21
-4.848e+00,0.736,0.752,0.226,0.254
-4.846e+00,0.736,0.728,0.23,0.206
-4.844e+00,0.736,0.752,0.23,0.254
-4.843e+00,0.736,0.728,0.238,0.21
-4.841e+00,0.744,0.752,0.23,0.254
-4.839e+00,0.744,0.728,0.226,0.21
-4.837e+00,0.736,0.752,0.238,0.254
-4.835e+00,0.744,0.728,0.226,0.21
-4.833e+00,0.736,0.752,0.226,0.254
-4.831e+00,0.736,0.728,0.23,0.21
-4.829e+00,0.736,0.752,0.23,0.254
-4.827e+00,0.744,0.728,0.222,0.21
-4.825e+00,0.736,0.752,0.234,0.258
-4.823e+00,0.736,0.728,0.238,0.21
-4.821e+00,0.736,0.752,0.234,0.258
-4.820e+00,0.736,0.728,0.23,0.21
-4.818e+00,0.736,0.752,0.234,0.254
-4.816e+00,0.744,0.728,0.234,0.21
-4.814e+00,0.736,0.752,0.234,0.258
-4.812e+00,0.736,0.728,0.242,0.21
-4.810e+00,0.736,0.752,0.234,0.254
-4.808e+00,0.736,0.728,0.222,0.21
-4.806e+00,0.744,0.752,0.234,0.258
-4.804e+00,0.736,0.728,0.23,0.21
-4.802e+00,0.736,0.752,0.234,0.258
-4.800e+00,0.744,0.728,0.23,0.21
-4.798e+00,0.736,0.752,0.242,0.258
-4.796e+00,0.736,0.728,0.242,0.21
-4.795e+00,0.736,0.752,0.234,0.258
-4.793e+00,0.736,0.728,0.238,0.21
-4.791e+00,0.736,0.744,0.242,0.258
-4.789e+00,0.736,0.728,0.242,0.21
-4.787e+00,0.736,0.744,0.23,0.258
-4.785e+00,0.736,0.728,0.238,0.214
-4.783e+00,0.736,0.744,0.238,0.258
-4.781e+00,0.736,0.728,0.234,0.21
-4.779e+00,0.736,0.744,0.234,0.262
-4.777e+00,0.736,0.72,0.234,0.214
-4.775e+00,0.736,0.744,0.23,0.258
-4.773e+00,0.736,0.72,0.234,0.21
-4.772e+00,0.728,0.744,0.246,0.258
-4.770e+00,0.728,0.72,0.234,0.214
-4.768e+00,0.728,0.744,0.234,0.258
-4.766e+00,0.728,0.72,0.242,0.214
-4.764e+00,0.728,0.744,0.23,0.258
-4.762e+00,0.736,0.72,0.23,0.21
-4.760e+00,0.728,0.736,0.238,0.258
-4.758e+00,0.728,0.72,0.234,0.214
-4.756e+00,0.728,0.736,0.234,0.258
-4.754e+00,0.728,0.72,0.234,0.214
-4.752e+00,0.728,0.736,0.238,0.258
-4.750e+00,0.728,0.712,0.23,0.214
-4.748e+00,0.72,0.736,0.226,0.258
-4.747e+00,0.72,0.712,0.234,0.214
-4.745e+00,0.72,0.736,0.23,0.258
-4.743e+00,0.72,0.712,0.238,0.214
-4.741e+00,0.72,0.728,0.23,0.258
-4.739e+00,0.72,0.712,0.234,0.21
-4.737e+00,0.72,0.728,0.23,0.254
-4.735e+00,0.72,0.712,0.23,0.21
-4.733e+00,0.72,0.728,0.242,0.254
-4.731e+00,0.712,0.704,0.234,0.214
-4.729e+00,0.712,0.728,0.226,0.258
-4.727e+00,0.712,0.704,0.234,0.21
-4.725e+00,0.712,0.728,0.226,0.258
-4.724e+00,0.712,0.704,0.234,0.21
-4.722e+00,0.712,0.72,0.238,0.254
-4.720e+00,0.712,0.704,0.23,0.21
-4.718e+00,0.712,0.72,0.226,0.254
-4.716e+00,0.712,0.696,0.226,0.21
-4.714e+00,0.704,0.72,0.234,0.258
-4.712e+00,0.704,0.696,0.234,0.21
-4.710e+00,0.704,0.72,0.222,0.254
-4.708e+00,0.704,0.696,0.234,0.206
-4.706e+00,0.704,0.712,0.234,0.254
-4.704e+00,0.704,0.696,0.23,0.21
-4.702e+00,0.704,0.712,0.246,0.254
-4.700e+00,0.704,0.688,0.23,0.21
-4.699e+00,0.704,0.712,0.23,0.254
-4.697e+00,0.696,0.688,0.23,0.206
-4.695e+00,0.696,0.712,0.234,0.254
-4.693e+00,0.696,0.688,0.23,0.206
-4.691e+00,0.696,0.704,0.23,0.25
-4.689e+00,0.696,0.68,0.234,0.206
-4.687e+00,0.696,0.704,0.226,0.25
-4.685e+00,0.688,0.68,0.226,0.206
-4.683e+00,0.688,0.704,0.222,0.254
-4.681e+00,0.688,0.68,0.23,0.206
-4.679e+00,0.688,0.696,0.23,0.25
-4.677e+00,0.688,0.672,0.23,0.206
-4.675e+00,0.688,0.696,0.226,0.25
-4.674e+00,0.68,0.672,0.226,0.206
-4.672e+00,0.688,0.696,0.222,0.25
-4.670e+00,0.68,0.672,0.222,0.202
-4.668e+00,0.68,0.688,0.226,0.25
-4.666e+00,0.68,0.664,0.226,0.202
-4.664e+00,0.672,0.688,0.226,0.25
-4.662e+00,0.672,0.664,0.222,0.202
-4.660e+00,0.68,0.688,0.226,0.246
-4.658e+00,0.672,0.656,0.218,0.202
-4.656e+00,0.672,0.68,0.226,0.246
-4.654e+00,0.664,0.656,0.226,0.202
-4.652e+00,0.672,0.68,0.218,0.25
-4.651e+00,0.664,0.656,0.226,0.202
-4.649e+00,0.664,0.672,0.23,0.246
-4.647e+00,0.664,0.648,0.222,0.202
-4.645e+00,0.664,0.672,0.214,0.246
-4.643e+00,0.656,0.648,0.222,0.198
-4.641e+00,0.656,0.672,0.218,0.246
-4.639e+00,0.656,0.64,0.218,0.198
-4.637e+00,0.656,0.664,0.218,0.242
-4.635e+00,0.656,0.64,0.218,0.198
-4.633e+00,0.648,0.664,0.214,0.242
-4.631e+00,0.648,0.632,0.21,0.194
-4.629e+00,0.648,0.656,0.218,0.242
-4.627e+00,0.64,0.632,0.222,0.194
-4.626e+00,0.64,0.656,0.214,0.242
-4.624e+00,0.64,0.632,0.218,0.194
-4.622e+00,0.64,0.648,0.226,0.242
-4.620e+00,0.64,0.624,0.214,0.194
-4.618e+00,0.64,0.648,0.218,0.242
-4.616e+00,0.632,0.624,0.214,0.194
-4.614e+00,0.632,0.648,0.218,0.238
-4.612e+00,0.632,0.616,0.214,0.19
-4.610e+00,0.632,0.64,0.214,0.238
-4.608e+00,0.624,0.616,0.21,0.19
-4.606e+00,0.624,0.64,0.206,0.238
-4.604e+00,0.624,0.608,0.218,0.19
-4.603e+00,0.624,0.632,0.218,0.234
-4.601e+00,0.616,0.608,0.21,0.19
-4.599e+00,0.616,0.624,0.206,0.234
-4.597e+00,0.616,0.6,0.214,0.186
-4.595e+00,0.608,0.624,0.214,0.234
-4.593e+00,0.608,0.6,0.202,0.19
-4.591e+00,0.608,0.624,0.206,0.23
-4.589e+00,0.608,0.592,0.206,0.182
-4.587e+00,0.6,0.616,0.202,0.23
-4.585e+00,0.6,0.592,0.206,0.186
-4.583e+00,0.6,0.616,0.206,0.23
-4.581e+00,0.6,0.584,0.206,0.182
-4.579e+00,0.6,0.608,0.206,0.23
-4.578e+00,0.592,0.584,0.21,0.182
-4.576e+00,0.592,0.608,0.206,0.226
-4.574e+00,0.592,0.576,0.202,0.182
-4.572e+00,0.592,0.6,0.206,0.23
-4.570e+00,0.584,0.576,0.202,0.182
-4.568e+00,0.584,0.6,0.198,0.226
-4.566e+00,0.584,0.568,0.206,0.178
-4.564e+00,0.576,0.592,0.202,0.222
-4.562e+00,0.584,0.568,0.198,0.178
-4.560e+00,0.576,0.592,0.194,0.222
-4.558e+00,0.576,0.56,0.21,0.178
-4.556e+00,0.568,0.584,0.202,0.222
-4.555e+00,0.568,0.552,0.198,0.178
-4.553e+00,0.568,0.584,0.194,0.222
-4.551e+00,0.56,0.552,0.198,0.174
-4.549e+00,0.56,0.576,0.202,0.222
-4.547e+00,0.56,0.544,0.198,0.174
-4.545e+00,0.56,0.568,0.202,0.218
-4.543e+00,0.552,0.536,0.194,0.174
-4.541e+00,0.552,0.56,0.194,0.218
-4.539e+00,0.552,0.536,0.198,0.174
-4.537e+00,0.544,0.56,0.202,0.218
-4.535e+00,0.544,0.528,0.19,0.17
-4.533e+00,0.544,0.552,0.19,0.214
-4.531e+00,0.544,0.528,0.198,0.166
-4.530e+00,0.536,0.552,0.202,0.214
-4.528e+00,0.536,0.52,0.182,0.166
-4.526e+00,0.536,0.544,0.198,0.21
-4.524e+00,0.536,0.52,0.186,0.166
