Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,1,,,
Sample Interval,0.00192012,,,
Filter Frequency,7e+07,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.02,,0.5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-5.000e+00,-1.78814e-11,-0.0016,-1.67,-1.69
-4.998e+00,-0.0008,0.0024,-1.65,-1.59
-4.996e+00,-1.78814e-11,-0.0024,-1.65,-1.67
-4.994e+00,-1.78814e-11,0.0024,-1.63,-1.59
-4.992e+00,-1.78814e-11,-0.0016,-1.63,-1.67
-4.990e+00,0.0008,0.0024,-1.61,-1.57
-4.988e+00,-0.0008,-0.0016,-1.61,-1.65
-4.987e+00,-1.78814e-11,0.0024,-1.61,-1.53
-4.985e+00,-0.0008,-0.0016,-1.59,-1.61
-4.983e+00,-1.78814e-11,0.0024,-1.57,-1.53
-4.981e+00,-1.78814e-11,-0.0016,-1.55,-1.61
-4.979e+00,0.0008,0.0024,-1.57,-1.49
-4.977e+00,-1.78814e-11,-0.0016,-1.55,-1.57
-4.975e+00,-1.78814e-11,0.0024,-1.53,-1.47
-4.973e+00,0.0008,-0.0016,-1.53,-1.55
-4.971e+00,0.0008,0.0024,-1.49,-1.45
-4.969e+00,-1.78814e-11,-0.0016,-1.49,-1.53
-4.967e+00,-1.78814e-11,0.0024,-1.49,-1.43
-4.965e+00,-1.78814e-11,-0.0016,-1.47,-1.51
-4.964e+00,-1.78814e-11,0.0024,-1.45,-1.39
-4.962e+00,-1.78814e-11,-0.0016,-1.45,-1.49
-4.960e+00,-1.78814e-11,0.0024,-1.43,-1.37
-4.958e+00,0.0008,-0.0016,-1.43,-1.45
-4.956e+00,0.0008,0.0024,-1.41,-1.35
-4.954e+00,-1.78814e-11,-0.0016,-1.43,-1.43
-4.952e+00,-1.78814e-11,0.0024,-1.39,-1.33
-4.950e+00,0.0008,-0.0016,-1.37,-1.41
-4.948e+00,0.0008,0.0024,-1.35,-1.31
-4.946e+00,-1.78814e-11,-0.0016,-1.33,-1.37
-4.944e+00,-1.78814e-11,0.0024,-1.33,-1.27
-4.942e+00,-1.78814e-11,-0.0016,-1.33,-1.35
-4.940e+00,0.0008,0.0024,-1.31,-1.25
-4.939e+00,-1.78814e-11,-0.0016,-1.31,-1.33
-4.937e+00,0.0008,0.0024,-1.29,-1.23
-4.935e+00,-1.78814e-11,-0.0016,-1.27,-1.31
-4.933e+00,-1.78814e-11,0.0024,-1.25,-1.19
-4.931e+00,0.0008,-0.0016,-1.23,-1.27
-4.929e+00,0.0008,0.0024,-1.23,-1.17
-4.927e+00,-1.78814e-11,-0.0016,-1.21,-1.23
-4.925e+00,-1.78814e-11,0.0024,-1.19,-1.13
-4.923e+00,-0.0008,-0.0016,-1.19,-1.21
-4.921e+00,-1.78814e-11,0.0024,-1.19,-1.09
-4.919e+00,-1.78814e-11,-0.0016,-1.15,-1.19
-4.917e+00,-1.78814e-11,0.0024,-1.11,-1.07
-4.916e+00,0.0008,-0.0016,-1.11,-1.15
-4.914e+00,-1.78814e-11,0.0024,-1.09,-1.03
-4.912e+00,-1.78814e-11,-0.0016,-1.09,-1.11
-4.910e+00,0.0008,0.0024,-1.07,-1.01
-4.908e+00,0.0008,-0.0016,-1.05,-1.09
-4.906e+00,-1.78814e-11,0.0016,-1.03,-0.97
-4.904e+00,0.0008,-0.0016,-1.01,-1.05
-4.902e+00,-1.78814e-11,0.0016,-1.01,-0.95
-4.900e+00,-1.78814e-11,-0.0016,-0.99,-1.03
-4.898e+00,-1.78814e-11,0.0024,-0.97,-0.91
-4.896e+00,-1.78814e-11,-0.0016,-0.97,-0.99
-4.894e+00,-0.0008,0.0024,-0.95,-0.87
-4.892e+00,-1.78814e-11,-0.0024,-0.93,-0.95
-4.891e+00,-1.78814e-11,0.0024,-0.91,-0.85
-4.889e+00,-1.78814e-11,-0.0016,-0.91,-0.93
-4.887e+00,-1.78814e-11,0.0024,-0.87,-0.81
-4.885e+00,0.0008,-0.0016,-0.85,-0.89
-4.883e+00,-1.78814e-11,0.0024,-0.85,-0.77
-4.881e+00,-0.0008,-0.0016,-0.83,-0.85
-4.879e+00,-1.78814e-11,0.0024,-0.79,-0.75
-4.877e+00,-1.78814e-11,-0.0016,-0.79,-0.83
-4.875e+00,0.0008,0.0024,-0.77,-0.71
-4.873e+00,-0.0008,-0.0016,-0.77,-0.79
-4.871e+00,-1.78814e-11,0.0024,-0.73,-0.67
-4.869e+00,-1.78814e-11,-0.0016,-0.73,-0.75
-4.868e+00,-1.78814e-11,0.0024,-0.69,-0.63
-4.866e+00,0.0008,-0.0016,-0.69,-0.71
-4.864e+00,-1.78814e-11,0.0016,-0.67,-0.59
-4.862e+00,0.0008,-0.0016,-0.65,-0.69
-4.860e+00,-1.78814e-11,0.0024,-0.63,-0.55
-4.858e+00,-1.78814e-11,-0.0016,-0.61,-0.63
-4.856e+00,-1.78814e-11,0.0024,-0.59,-0.53
-4.854e+00,-1.78814e-11,-0.0016,-0.57,-0.61
-4.852e+00,-1.78814e-11,0.0016,-0.55,-0.49
-4.850e+00,-1.78814e-11,-0.0016,-0.53,-0.57
-4.848e+00,-1.78814e-11,0.0016,-0.51,-0.45
-4.846e+00,0.0008,-0.0016,-0.49,-0.53
-4.844e+00,-1.78814e-11,0.0024,-0.47,-0.41
-4.843e+00,-1.78814e-11,-0.0016,-0.47,-0.49
-4.841e+00,-1.78814e-11,0.0024,-0.43,-0.37
-4.839e+00,-1.78814e-11,-0.0024,-0.41,-0.45
-4.837e+00,-1.78814e-11,0.0016,-0.41,-0.35
-4.835e+00,-1.78814e-11,-0.0016,-0.39,-0.41
-4.833e+00,0.0008,0.0024,-0.35,-0.29
-4.831e+00,-0.0008,-0.0016,-0.35,-0.37
-4.829e+00,-1.78814e-11,0.0024,-0.31,-0.27
-4.827e+00,0.0008,-0.0016,-0.29,-0.33
-4.825e+00,-1.78814e-11,0.0024,-0.29,-0.23
-4.823e+00,0.0008,-0.0016,-0.27,-0.29
-4.821e+00,-1.78814e-11,0.0024,-0.25,-0.19
-4.820e+00,-1.78814e-11,-0.0016,-0.23,-0.27
-4.818e+00,-1.78814e-11,0.0024,-0.21,-0.15
-4.816e+00,0.0008,-0.0016,-0.21,-0.23
-4.814e+00,-1.78814e-11,0.0024,-0.17,-0.11
-4.812e+00,-1.78814e-11,-0.0024,-0.17,-0.19
-4.810e+00,0.0008,0.0024,-0.15,-0.07
-4.808e+00,-1.78814e-11,-0.0016,-0.13,-0.15
-4.806e+00,-1.78814e-11,0.0024,-0.11,-0.03
-4.804e+00,-1.78814e-11,-0.0016,-0.09,-0.11
-4.802e+00,-1.78814e-11,0.0024,-0.07,-0.01
-4.800e+00,-1.78814e-11,-0.0016,-0.05,-0.07
-4.798e+00,-1.78814e-11,0.0024,-0.05,0.03
-4.796e+00,0.0008,-0.0016,-0.01,-0.03
-4.795e+00,-1.78814e-11,0.0024,0.01,0.07
-4.793e+00,-1.78814e-11,-0.0016,0.03,-0.01
-4.791e+00,-1.78814e-11,0.0024,0.05,0.11
-4.789e+00,0.0008,-0.0016,0.07,0.05
-4.787e+00,0.0008,0.0024,0.09,0.15
-4.785e+00,0.0008,-0.0016,0.11,0.07
-4.783e+00,-1.78814e-11,0.0024,0.13,0.19
-4.781e+00,-1.78814e-11,-0.0016,0.15,0.11
-4.779e+00,0.0008,0.0024,0.17,0.23
-4.777e+00,-1.78814e-11,-0.0016,0.17,0.15
-4.775e+00,-1.78814e-11,0.0024,0.21,0.27
-4.773e+00,-1.78814e-11,-0.0016,0.23,0.19
-4.772e+00,-1.78814e-11,0.0024,0.25,0.29
-4.770e+00,-1.78814e-11,-0.0016,0.25,0.23
-4.768e+00,-1.78814e-11,0.0016,0.27,0.33
-4.766e+00,-1.78814e-11,-0.0016,0.29,0.27
-4.764e+00,-1.78814e-11,0.0016,0.31,0.37
-4.762e+00,-0.0008,-0.0016,0.35,0.31
-4.760e+00,-1.78814e-11,0.0016,0.35,0.41
-4.758e+00,-1.78814e-11,-0.0016,0.39,0.35
-4.756e+00,0.0008,0.0024,0.39,0.45
-4.754e+00,0.0008,-0.0016,0.39,0.37
-4.752e+00,-1.78814e-11,0.0024,0.43,0.49
-4.750e+00,0.0008,-0.0016,0.47,0.43
-4.748e+00,-0.0008,0.0024,0.47,0.53
-4.747e+00,-1.78814e-11,-0.0016,0.49,0.45
-4.745e+00,0.0008,0.0024,0.51,0.55
-4.743e+00,-1.78814e-11,-0.0016,0.53,0.49
-4.741e+00,-1.78814e-11,0.0024,0.55,0.61
-4.739e+00,0.0008,-0.0016,0.55,0.53
-4.737e+00,-1.78814e-11,0.0024,0.59,0.63
-4.735e+00,-1.78814e-11,-0.0016,0.61,0.57
-4.733e+00,-0.0008,0.0024,0.61,0.67
-4.731e+00,-1.78814e-11,-0.0016,0.63,0.61
-4.729e+00,0.0008,0.0024,0.67,0.71
-4.727e+00,-1.78814e-11,-0.0016,0.67,0.63
-4.725e+00,0.0008,0.0024,0.69,0.75
-4.724e+00,-1.78814e-11,-0.0016,0.71,0.67
-4.722e+00,-1.78814e-11,0.0024,0.73,0.77
-4.720e+00,-0.0008,-0.0016,0.75,0.71
-4.718e+00,-1.78814e-11,0.0024,0.75,0.81
-4.716e+00,0.0008,-0.0016,0.79,0.75
-4.714e+00,0.0008,0.0024,0.79,0.85
-4.712e+00,0.0008,-0.0024,0.79,0.79
-4.710e+00,-1.78814e-11,0.0024,0.83,0.89
-4.708e+00,-1.78814e-11,-0.0016,0.83,0.81
-4.706e+00,-1.78814e-11,0.0024,0.85,0.91
-4.704e+00,-1.78814e-11,-0.0016,0.87,0.85
-4.702e+00,-1.78814e-11,0.0024,0.89,0.95
-4.700e+00,0.0008,-0.0016,0.91,0.87
-4.699e+00,0.0008,0.0024,0.93,0.97
-4.697e+00,-1.78814e-11,-0.0016,0.95,0.91
-4.695e+00,-1.78814e-11,0.0024,0.95,1.01
-4.693e+00,-0.0008,-0.0016,0.97,0.95
-4.691e+00,-1.78814e-11,0.0024,0.99,1.05
-4.689e+00,-1.78814e-11,-0.0016,1.01,0.97
-4.687e+00,0.0008,0.0024,1.01,1.07
-4.685e+00,0.0008,-0.0016,1.03,1.01
-4.683e+00,-1.78814e-11,0.0024,1.05,1.11
-4.681e+00,-1.78814e-11,-0.0016,1.07,1.03
-4.679e+00,0.0008,0.0024,1.09,1.13
-4.677e+00,0.0008,-0.0016,1.11,1.07
-4.675e+00,-1.78814e-11,0.0016,1.11,1.17
-4.674e+00,-1.78814e-11,-0.0024,1.13,1.11
-4.672e+00,-1.78814e-11,0.0024,1.15,1.19
-4.670e+00,-1.78814e-11,-0.0016,1.17,1.13
-4.668e+00,-1.78814e-11,0.0024,1.17,1.23
-4.666e+00,-1.78814e-11,-0.0016,1.19,1.17
-4.664e+00,-1.78814e-11,0.0024,1.21,1.25
-4.662e+00,0.0008,-0.0016,1.21,1.19
-4.660e+00,-1.78814e-11,0.0024,1.23,1.29
-4.658e+00,-1.78814e-11,-0.0016,1.25,1.21
-4.656e+00,-1.78814e-11,0.0024,1.27,1.31
-4.654e+00,0.0008,-0.0016,1.27,1.25
-4.652e+00,0.0008,0.0024,1.29,1.33
-4.651e+00,0.0008,-0.0016,1.31,1.27
-4.649e+00,0.0008,0.0024,1.29,1.37
-4.647e+00,-1.78814e-11,-0.0016,1.33,1.29
-4.645e+00,-1.78814e-11,0.0024,1.35,1.39
-4.643e+00,-1.78814e-11,-0.0016,1.35,1.33
-4.641e+00,-1.78814e-11,0.0024,1.37,1.41
-4.639e+00,-1.78814e-11,-0.0016,1.37,1.35
-4.637e+00,-1.78814e-11,0.0016,1.39,1.43
-4.635e+00,-1.78814e-11,-0.0016,1.41,1.37
-4.633e+00,-1.78814e-11,0.0024,1.43,1.47
-4.631e+00,-1.78814e-11,-0.0016,1.43,1.39
-4.629e+00,-0.0008,0.0024,1.43,1.49
-4.627e+00,-1.78814e-11,-0.0016,1.45,1.43
-4.626e+00,-1.78814e-11,0.0024,1.49,1.51
-4.624e+00,-1.78814e-11,-0.0016,1.47,1.45
