FREQUENCY,FREQUENCY ERROR,AMPLITUDE,AMPLITUDE ERROR,PHASE DIFFERENCE MIN,PHASE DIFFERENCE MAX,PHASE DIFFERENCE,PHASE DIFFERENCE ERROR,DATASET NAME
0.855,0,2.02,0.01,90,92,91,1,T0016.CSV
0.3,0,0.43,0.01,3,5,4,1,T0017.CSV
0.4,0,0.44,0.01,6,8,7,1,T0018.CSV
0.5,0,0.58,0.01,10,12,11,1,T0019.CSV
0.6,0,0.72,0.01,16,18,17,1,T0020.CSV
0.7,0,1.03,0.01,28,29,28.5,0.5,T0021.CSV
0.8,0,1.72,0.01,55,56,55.5,0.5,T0022.CSV
0.9,0,1.76,0.01,119,121,120,1,T0023.CSV
1,0,0.94,0.01,153,155,154,1,T0024.CSV
1.1,0,0.57,0.01,164,166,165,1,T0025.CSV
1.2,0,0.39,0.01,170,172,171,1,T0026.CSV
1.3,0,0.29,0.01,172,175,173.5,1.5,T0027.CSV
1.4,0,0.23,0.01,174,178,176,2,T0028.CSV
