U0,fU0,Ur,fUr,I,fI,R,fR,Pr,fPr,Ua,fUa,Rintern,fRintern
1.049,0.0029441,1.025,0.0029225,0.147,0.005882,6.972789116,0.279713857,0.150675,0.006044337,0.024,0.004148341,0.163265306,0.550560078
2.05,0.003845,2.031,0.0038279,0.175,0.00605,11.60571429,0.401821927,0.355425,0.012305797,0.019,0.005425573,0.108571429,0.351459057
3.024,0.0047216,2.995,0.0046955,0.199,0.006194,15.05025126,0.469042393,0.596005,0.018574548,0.029,0.006658921,0.145728643,0.340087672
4.015,0.0056135,3.995,0.0055955,0.221,0.006326,18.07692308,0.518060772,0.882895,0.025302606,0.02,0.00792597,0.090497738,0.233076372
5.028,0.0065252,5.006,0.0065054,0.243,0.006458,20.60082305,0.548144325,1.216458,0.032367374,0.022,0.009214036,0.090534979,0.205389293
6.055,0.0074495,6.033,0.0074297,0.263,0.006578,22.9391635,0.574435811,1.586679,0.039733151,0.022,0.010521193,0.08365019,0.178460489
7.014,0.0083126,6.991,0.0082919,0.281,0.006686,24.87900356,0.592695944,1.964471,0.046799864,0.023,0.011741164,0.081850534,0.162512057
8.033,0.0092297,8.011,0.0092099,0.299,0.006794,26.79264214,0.609572082,2.395289,0.054496354,0.022,0.013038774,0.073578595,0.143536036
9.023,0.0101207,8.997,0.0100973,0.316,0.006896,28.47151899,0.622148937,2.843052,0.062125304,0.026,0.014296294,0.082278481,0.1415208
10.024,0.0110216,10,0.011,0.322,0.006932,31.05590062,0.66944208,3.22,0.069410433,0.024,0.01557163,0.074534161,0.133469698
11.06,0.011954,11.02,0.011918,0.348,0.007088,31.66666667,0.645889428,3.83496,0.078219793,0.04,0.016880072,0.114942529,0.147256171
